id,remoteId,publishedAt,text,groupId
4544,69194265938812,"2019-03-01 13:08:37","Гос номера у частников будут стоить 2000 рублей

Подробнее: https://drom.ru/s/hFJ",1
4543,69194517007228,"2019-03-01 14:24:29","КАМАЗ уже год снимает своих красивых работниц

Смотрите фото: https://drom.ru/s/few",1
4542,69194924247932,"2019-03-01 16:10:50","UAZ Patriot получил спецверсию с салатовым цветом кузова

Подробнее: https://drom.ru/s/TEg",1
4541,69195143203708,"2019-03-01 17:02:28","С обновлением Renault Duster его минимальная цена перевалила за 700 000 рублей

Подробнее: https://drom.ru/s/N5h",1
4540,69195362945916,"2019-03-01 18:02:23","Почему Hyundai не может уделать KIA? Выясняем на примере обновлённой Элантры

Читайте на сайте: https://drom.ru/s/V0Q",1
4539,69195627121532,"2019-03-01 19:01:33","#объявадня 
ЗИЛ-41047, 1988 год 
15 999 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/Nyi",1
4538,69196573723516,"2019-03-01 23:01:21","Девушка жалуется спутнику на неполадки в своем автомобиле.",1
4537,69198987873148,"2019-03-02 12:17:18","Помните ДТП с БТРами? Вот как это было!

Смотрите видео: https://drom.ru/s/Vnq",1
4536,69201481714556,"2019-03-03 00:36:38","Чудо спасло пассажиров мопеда во Вьетнаме от верной смерти.",1
4535,69201491872636,"2019-03-03 00:39:07","Грузовое судно из Владивостока врезалось в мост в Пусане — корейские СМИ сообщают, что капитан был пьян! Судно водоизмещением 6 тысяч тонн врезалось в участок между опорами моста, получив значительные повреждения и пробив в мосту дыру размером 5 на 5 метров. Морская полиция эвакуировала аварийное судно, движение по мосту перекрыто. Никто не пострадал.",1
4534,69204410780540,"2019-03-03 17:14:52","Концерт рок-группы внутри Honda N-VAN? Загружаем гитару, басуху и ударную установку!

Читайте на сайте: https://drom.ru/s/e6w",1
4533,69204728236924,"2019-03-03 18:30:32","По Аляске на доме на колёсах до Ледовитого Океана. 3700 км за неделю

Новые заметки об автопутешествии по ссылке: https://drom.ru/s/uOU",1
4532,69205036714876,"2019-03-03 19:46:50","#объявадня 
Mercedes-Maybach S450 4MATIC, 2017 год 
8 850 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/cah",1
4531,69205915356028,"2019-03-03 23:14:56","Tesla начала продажи бюджетной версии Model 3

Подробнее: https://drom.ru/s/drN",1
4530,69206106786684,"2019-03-03 23:59:20","Недавно мы публиковали видео из Сингапура, на котором из-за дорожного конфликта водитель грузовичка толкнул велосипедиста машиной на разделительную полосу. Вот еще одно видео из этой страны: здесь уже другие водитель грузовика и велосипедист не поделили дорогу, но в этот раз получил водитель. Похоже, у них там какая-то война.",1
4529,69208542890876,"2019-03-04 13:32:48","Toyota Crown 2014 года: сколько пришлось копить на новый автомобиль, странный спортивный режим и почему внутренняя посадка внутри неудобная. 

Читайте новый отзыв от автовладельца: https://drom.ru/s/b3L",1
4528,69209048894332,"2019-03-04 16:02:26","#объявадня 
Pontiac Firebird, 1997 год
1 000 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/HBt",1
4527,69209279187836,"2019-03-04 17:05:30","Передний привод и бездорожье — бред. А если с электронными помощниками?

Новый тест-драйв уже на сайте: https://drom.ru/s/nz9",1
4526,69209841879932,"2019-03-04 19:26:59","Chery опубликовала цены на кроссовер Tiggo 7 в России, правда, дорестайлинговый

Смотрите по ссылке: https://drom.ru/s/4rd",1
4525,69210208619388,"2019-03-04 20:52:09","МВД хочет создать открытый реестр автомобилей

Подробнее: https://drom.ru/s/BNP",1
4524,69210738674556,"2019-03-04 23:03:30","Ford и GM одновременно сняли с производства две массовые модели

Подробнее: https://drom.ru/s/kAx",1
4523,69210985352060,"2019-03-04 23:59:35",ЖЕНЯ,1
4522,69213231598460,"2019-03-05 12:31:59","Компания Джуджаро разработала суперкар для плохих дорог

Подробнее о новинке: https://drom.ru/s/xVt",1
4521,69213337308028,"2019-03-05 13:38:22","Автомобили Volvo не смогут разгоняться свыше 180 км/ч

Подробнее: https://drom.ru/s/CNZ",1
4520,69213461105532,"2019-03-05 14:30:28","#объявадня 
Toyota Mark II, 1997 год
1 100 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/f6x",1
4519,69213645261692,"2019-03-05 15:30:19","Skoda Kodiaq 2018 года: почему автор всё же выбрал семиместный кроссовер, а не недорогой B-класс, подробности о комплектации Active и 15 минусов Кодиака. 

Читайте новый отзыв от автовладельца: https://drom.ru/s/gyq",1
4518,69213858515836,"2019-03-05 16:35:09","Карлоса Гона выпустят на свободу. Пока временно

Подробнее: https://drom.ru/s/q3h",1
4517,69214053944188,"2019-03-05 17:30:30","Тестируем ОСАГО. Все те же «допы» и проблемы с электронным полисом. Но стало лучше

Читайте на сайте: https://drom.ru/s/nZ0",1
4516,69215261838204,"2019-03-05 23:24:02","В Новой Зеландии водитель старенького заднеприводного седана Ford Falcon решил повыпендриваться на перекрёстке, но... Обязательно смотрите видео до конца.",1
4515,69217562020732,"2019-03-06 12:22:29","Lamborghini привезла в Женеву самый мощный в истории Aventador SVJ Roadster

Подробнее: https://drom.ru/s/c4i",1
4514,69217685162876,"2019-03-06 13:37:37","Bugatti привезла в Женеву уникальный гиперкар с космическим ценником

Подробнее: https://drom.ru/s/Ih3",1
4513,69217996655484,"2019-03-06 15:28:47","Европейцам показали главное достижение русского автопрома

Подробнее: https://drom.ru/s/VbJ",1
4512,69218207615868,"2019-03-06 16:32:31","Начинка гибридов и электромобилей: разбираем все детали

Читайте новую статью на сайте: https://drom.ru/s/Tkg",1
4511,69218657389436,"2019-03-06 18:45:24","Reuters: два завода по производству Фордов закроются в России

Подробнее: https://drom.ru/s/FAK",1
4510,69219224210300,"2019-03-06 21:17:50","CX-30 — новый глобальный кроссовер от Mazda

Все подробности о новинке: https://drom.ru/s/VXN",1
4509,69219387460476,"2019-03-06 22:01:59","#объявадня 
Lexus LX570, 2012 год
4 150 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/2hR",1
4508,69219648293756,"2019-03-06 23:06:11","Владивостокская таможня перестанет оформлять автомобили иногородних покупателей в конце марта

Подробнее: https://drom.ru/s/Czi",1
4507,69219851783036,"2019-03-06 23:59:51","В США прошли соревнования по триалу на монстр-траках. Нам эта культура, конечно, чужда, но посмотрите, что вытворял победитель этих соревнований в зачете «Фристайл» по имени Дизель Дейв.",1
4506,69222428068732,"2019-03-07 12:55:28","Гиперкар Koenigsegg Jesko стал прижизненным памятником отцу основателя компании

Подробнее: https://drom.ru/s/Qrn",1
4505,69222707448700,"2019-03-07 14:26:26","Hyundai Sonata со сменой поколений кардинально сменила стиль

Подробнее: https://drom.ru/s/LFc",1
4504,69222957271932,"2019-03-07 15:30:28","Авторынок в феврале: внезапный спад

Читайте на сайте: https://drom.ru/s/DeO",1
4503,69223234816892,"2019-03-07 16:30:43","В Россию придёт всего 22 экземпляра Toyota Supra

Подробнее: https://drom.ru/s/wJR",1
4502,69223548210044,"2019-03-07 17:30:26","Народное ретро. Nissan Laurel C33 1989 года. «Корчевать» или реставрировать…

Читать: https://drom.ru/s/PAV",1
4501,69224105266044,"2019-03-07 19:23:08","Nissan Terrano 2018 года: три месяца активной эксплуатации, стоит  ли ездить на Террано в гололёд и при какой температуре автомобиль отказывается заводиться.

Читайте новый отзыв от автовладельца: https://drom.ru/s/lLK",1
4500,69225293368188,"2019-03-07 23:57:16","В гостях у «дяди Васи». Женщины и гаражный сервис — совместимы?

Читайте на сайте: https://drom.ru/s/Zml",1
4499,69225993620348,"2019-03-08 02:01:17","В Харькове, Украина, не поделили дорогу... два трамвая. Да, бывает и такое.",1
4498,69228054268796,"2019-03-08 10:45:38","Дорогие дамы! Аминистрация сайта drom.ru поздравляет вас с Международым женским днём! Желаем много любви, счастья, весеннего тепла и удачи на дороге!

И пусть, если вас и останавливают сотрудники ДПС, то только для того, чтобы признаться в любви.

С праздником!",1
4497,69228564204412,"2019-03-08 13:44:39","Санкции угрожают проекту «ГАЗели-Next» с турбодизелем Volkswagen

Подробнее: https://drom.ru/s/6iL",1
4496,69234115038076,"2019-03-09 15:04:10","#объявадня 
Mitsubishi Lancer Evolution, 2000 год 
3 990 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/UFS",1
4495,69235282758524,"2019-03-09 20:14:28","Новейший Тойота Краун. Одна модель и три силовых агрегата на тест-драйве

Читайте на сайте: https://drom.ru/s/gCJ",1
4494,69236112968572,"2019-03-09 23:51:47","Автопутешествие по Западной Украине на российских номерах

Читайте об этом автопутешествии по ссылке: https://drom.ru/s/l06",1
4493,69239856122748,"2019-03-10 17:14:22","Фоторепортаж: 28-я Олдтаймер-галерея в Москве

Смотрите все фото: https://drom.ru/s/MdS",1
4492,69241226152828,"2019-03-10 21:41:02","#объявадня 
ЗАЗ Запорожец, 1987 год 
1 000 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/ZWf",1
4491,69241809292156,"2019-03-10 23:47:26","Пешеход разыграл случайного водителя: во время перехода дороги он изобразил, что перешагивает через какое-то препятствие, чем немало озадачил автомобилиста.",1
4490,69244383218556,"2019-03-11 14:25:28","Audi показала в Женеве закамуфлированный электрокар E-tron Sportback

Подробнее о новинке: https://drom.ru/s/6uT",1
4489,69244572814204,"2019-03-11 15:32:09","Воспоминания о перегонах начала 2000-х

Читайте по ссылке: https://drom.ru/s/4zT",1
4488,69244761099132,"2019-03-11 16:30:50","Сколько спортивных Вест продали за первый месяц?

Смотрите ответ: https://drom.ru/s/5MN",1
4487,69245058370428,"2019-03-11 17:54:40","Топ-10 иномарок по скорости гниения

Смотрите список: https://drom.ru/s/Tdf",1
4486,69245574859644,"2019-03-11 20:20:54","На загородной трассе под Владивостоком перевернулся ЗРПК «Панцирь-С»

Фото и подробности: https://drom.ru/s/pGY",1
4485,69246127065980,"2019-03-11 22:51:13","Кабриолет Volkswagen Beetle с автографом Путина передали на благотворительность

Подробнее: https://drom.ru/s/cUI",1
4484,69246263315324,"2019-03-11 23:30:25","Tesla опубликовала изображение кроссовера Model Y

Подробнее: https://drom.ru/s/Cgn",1
4483,69246371384188,"2019-03-11 23:59:20","В Харькове водитель трамвая нашла действенный метод борьбы с зацеперами.",1
4482,69248481119100,"2019-03-12 12:13:59","Tesla повышает стоимость своих автомобилей

Подробнее: https://drom.ru/s/LpO",1
4481,69248622152572,"2019-03-12 13:40:40","Обновлённая Hyundai Elantra: начались продажи в России

Подробнее: https://drom.ru/s/eg3",1
4480,69249098140540,"2019-03-12 15:58:40","Renault Duster для Индии обновят серьёзнее, чем для России

Подробнее: https://drom.ru/s/yex",1
4479,69249399933820,"2019-03-12 17:27:52","Новая Гранта Спорт: сроки и планы

Читайте на сайте: https://drom.ru/s/Ojo",1
4478,69249636846460,"2019-03-12 18:31:52","#объявадня 
Nissan 350Z, 2005 год
1 100 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/SP7",1
4477,69250147634044,"2019-03-12 20:55:09","Как заработать на автомобиле: пять способов

Читайте по ссылке: https://drom.ru/s/OiW",1
4476,69250576173948,"2019-03-12 22:50:42","Acura обзаведется спортивным седаном и купеобразным кроссовером

Подробнее: https://drom.ru/s/Aie",1
4475,69250836614012,"2019-03-12 23:51:14","Героическая буксировка автомобиля.",1
4474,69253141842812,"2019-03-13 12:59:19","Чем Сердюков планировал заменить УАЗы в армии?

Смотрите фото редкого прототипа: https://drom.ru/s/J4Y",1
4473,69253275470716,"2019-03-13 14:01:29","Депутаты предлагают отменить транспортный налог. Опять

Подробнее: https://drom.ru/s/uTE",1
4472,69253598301052,"2019-03-13 15:40:38","Ретротест VW Passat B2. Он всё ещё едет 120 км/ч!

Читайте на сайте: https://drom.ru/s/vH5",1
4471,69253806902140,"2019-03-13 16:41:57","Mitsubishi Outlander 2018 года: почему этот автомобиль лучше Mazda СХ-4, советы по общению с автодилерами и как наживаются страховые компании при ремонте по ОСАГо.

Читайте новый отзыв от автовладельца: https://drom.ru/s/aYO",1
4470,69253950884732,"2019-03-13 17:24:18","Сверхдлинные фургоны и микроавтобусы «ГАЗель Next» появилась в продаже

Цены, фото и подробности: https://drom.ru/s/yGK",1
4469,69254180064124,"2019-03-13 18:31:44","Русские мотоциклы УРАЛ в Японии: кто их покупает и сколько они стоят?

Смотрите новое видео на канале Drom Fun: https://drom.ru/s/h4V",1
4468,69254379948924,"2019-03-13 19:30:24","#объявадня 
BMW M2, 2016 год 
2 900 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/zab",1
4467,69255360695164,"2019-03-13 23:30:39","Камера наружного наблюдения на одной из набережной в Китае запечатлела, как автомобиль удрал от хозяина, чтобы хорошенько помыться.",1
4466,69257824062332,"2019-03-14 13:33:25","Это фиаско: Infiniti покидает рынки стран Западной Европы

Подробнее: https://drom.ru/s/IYb",1
4465,69258004024188,"2019-03-14 14:34:38","Toyota привезла в Россию внедорожники Land Cruiser 200 и Land Cruiser Prado в тюнинге TRD

Подробнее: https://drom.ru/s/twM",1
4464,69258152332156,"2019-03-14 15:23:18","Всем старым машинам без ведома владельца присвоят экологический класс

Подробнее: https://drom.ru/s/26H",1
4463,69258301033340,"2019-03-14 16:01:54","У нового Chevrolet Corvette C8 под нагрузкой ведёт кузов

Подробнее: https://drom.ru/s/uiP",1
4462,69258544696188,"2019-03-14 17:02:22","В Калуге наладят производство турбомоторов Volkswagen

Подробнее: https://drom.ru/s/Ymz",1
4461,69258735733628,"2019-03-14 18:01:46","В поисках идеального кроссовера: Forester, X-Trail, Tucson

Читайте на сайте: https://drom.ru/s/ttg",1
4460,69258946104188,"2019-03-14 19:02:15","Mazda готовит сюрприз фанатам роторных двигателей

Подробнее: https://drom.ru/s/rFe",1
4459,69259150183292,"2019-03-14 20:01:25","#объявадня 
BMW i8, 2016 год 
4 890 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/pQ1",1
4458,69259780770684,"2019-03-14 22:52:51","За отсутствие ОСАГО штраф будет приходить с каждой камеры, зафиксировавшей автомобиль

Подробнее: https://drom.ru/s/RUI",1
4457,69259985898364,"2019-03-14 23:45:19","Тот случай, когда ДТП произошло буквально на ровном месте.",1
4456,69262519978876,"2019-03-15 13:46:38","Opel рассказал, какие модели будет предлагать в России после возвращения

Подробнее: https://drom.ru/s/2Sl",1
4455,69262681721724,"2019-03-15 14:45:40","ГАЗ знакомит дилеров с новым «Садко» Next. Скоро серия

Подробнее: https://drom.ru/s/jME",1
4454,69262906510204,"2019-03-15 15:58:30","Новая Tesla Model Y: линейка Теслы стала SEXY

Все подробности о новинке: https://drom.ru/s/fCd",1
4453,69262952254332,"2019-03-15 16:11:17","Архангельск, Россия. Водитель машины, из которой сделана съемка, не скупится на выражения, но, в общем, его понять можно.",1
4452,69263314275196,"2019-03-15 18:01:38","Блог Лада Веста Кросс. Не дождавшись ремонта после ДТП, попали в новое :-( 

Читайте новый пост на сайте: https://drom.ru/s/0M1",1
4451,69263525235580,"2019-03-15 19:02:12","Skoda Kodiaq 2018 года: минусы конкурентов, выбор комплектации и почему система экстренного торможения может сыграть злую шутку.

Читайте новый отзыв от автовладельца: https://drom.ru/s/zWT",1
4450,69263749630844,"2019-03-15 20:01:39","#объявадня 
Mercedes-Benz W140 S500 Guard, 1997 год 
1 100 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/tFZ",1
4449,69267386944380,"2019-03-16 15:44:11","СМИ: под брендом Aurus выпустят ещё и вертолет

Подробнее: https://drom.ru/s/hIF",1
4448,69267557993340,"2019-03-16 16:30:25","Турбированная версия Geely Atlas стоит меньше 1,5 млн рублей

Подробнее: https://drom.ru/s/n0Q",1
4447,69267790515068,"2019-03-16 17:31:23","Топ-30 бестселлеров на крупнейших автомобильных рынках планеты

Смотрите список: https://drom.ru/s/oeC",1
4446,69268256344956,"2019-03-16 19:37:31","Подсчитано количество «праворулек» в России

Смотрите ответ по ссылке: https://drom.ru/s/5fA",1
4445,69272741301116,"2019-03-17 18:37:06","Немцы о Ладе 4х4 Урбан: «двойка с минусом», но...

Читайте на сайте: https://drom.ru/s/xGw",1
4444,69273520065404,"2019-03-17 21:57:38","Функция открытия багажника с ноги в немецкой и советской машинах.",1
4443,69276314454908,"2019-03-18 13:28:22","В Москве открылся ещё один автомобильный музей

Все фото смотрите по ссылке: https://drom.ru/s/d55",1
4442,69276483472252,"2019-03-18 14:30:20","Лада Веста Кросс 2018 года: история покупки автомобиля для отца, проблемы с резиной в межсезонье и почему выбор машины похож на выбор жены.

Читайте новый отзыв от автовладельца: https://drom.ru/s/2q2",1
4441,69276782513020,"2019-03-18 16:02:29","Зачем покупать английский кроссовер, а не японский внедорожник? Тестируем новый Evoque

Читайте по ссылке: https://drom.ru/s/Jbq",1
4440,69277229730684,"2019-03-18 18:17:27","Росгвардия испытывает Весты с тепловизорами

Подробнее: https://drom.ru/s/cQG",1
4439,69277491022716,"2019-03-18 19:30:04","В России подсчитали количество электромобилей

Ответ смотрите по ссылке: https://drom.ru/s/yg3",1
4438,69277893151612,"2019-03-18 21:27:15","Эксклюзив: план производства Lada Vesta на весь текущий год

Читайте на сайте: https://drom.ru/s/fEa",1
4437,69278491036540,"2019-03-19 00:12:06","Ещё один способ оперирования крышкой багажника ногой. На сей раз — более изящный, но и машина более современная — Веста.",1
4436,69280492702588,"2019-03-19 12:18:34","ГЛОНАСС всё-таки следит: в России создадут систему «Автодата»

Подробнее: https://drom.ru/s/KCs",1
4435,69280616106876,"2019-03-19 13:16:24","Nissan Leaf стал первым электромобилем, преодолевшим рубеж в 400 000 экземпляров

Подробнее: https://drom.ru/s/Lbf",1
4434,69280915540860,"2019-03-19 15:07:24","Nissan раскрыл цены обновлённого кроссовера Qashqai для России

Подробности по ссылке: https://drom.ru/s/53Y",1
4433,69281132006268,"2019-03-19 16:05:44","#объявадня 
Chrysler New Yorker, 1956 год 
2 990 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/sP5",1
4432,69281349979004,"2019-03-19 17:11:23","На платных трассах в России стали часто сбивать шлагбаумы. «Автодор» грозит лишением прав

Подробнее: https://drom.ru/s/aXQ",1
4431,69282492926844,"2019-03-19 22:43:44","12 типично женских ошибок за рулем

Читать: https://drom.ru/s/ji6",1
4430,69285289937788,"2019-03-20 14:51:24","Объявлены цены обновлённого седана Subaru Legacy

Подробнее: https://drom.ru/s/QrS",1
4429,69285589633916,"2019-03-20 16:02:57","Из «ГАЗели» Next сделали вездеход за 3,2 млн рублей

Подробнее об этом авто: https://drom.ru/s/yjp",1
4428,69285812783996,"2019-03-20 17:11:04","Honda Accord седьмого (CL/CM) и восьмого (CU/CW) поколений, 2002–2013 гг. Звучать по-своему!

Читайте на сайте: https://drom.ru/s/hOx",1
4427,69286104812412,"2019-03-20 18:35:14","МВД предложило оснастить автобусы трёхточечными ремнями безопасности

Подробнее: https://drom.ru/s/PrB",1
4426,69286491540348,"2019-03-20 20:20:58","В России хотят запретить продажу топлива класса ниже «Евро-5»

Подробнее: https://drom.ru/s/Ekj",1
4425,69286847073148,"2019-03-20 22:04:37","Трамвай в Токио — как это работает

Смотрите новое видео на канале Drom Fun: https://drom.ru/s/vK4",1
4424,69287067995004,"2019-03-20 23:01:21","«После ДТП уехал своим ходом», — довольно распространенная формулировка при описании состояния автомобиля, пострадавшего в аварии. Однако «уехал своим ходом» вовсе не означает его хорошей сохранности.",1
4423,69290768878460,"2019-03-21 20:08:36","Skoda Karoq будут выпускать в России. Где и когда?

 Есть ответ: https://drom.ru/s/o0E",1
4422,69291022830460,"2019-03-21 21:24:15","Босс Cadillac обещает защищать новый мотор V8 от других брендов GM ценой собственной жизни

Подробнее: https://drom.ru/s/ZZp",1
4421,69291242703740,"2019-03-21 22:27:03","Правительство хочет отказаться от контроля цен на бензин. Когда ждать подорожания?

Отвечаем: https://drom.ru/s/R9p",1
4420,69291431709564,"2019-03-21 23:27:14","Минэкономики предложило ослабить требования по локализации в автопроме

Подробнее: https://drom.ru/s/hW9",1
4419,69295073020796,"2019-03-22 20:29:43","Самые крутые авторынки России: репортаж из Грозного

Читайте на сайте: https://drom.ru/s/pHE",1
4418,69295305608060,"2019-03-22 21:38:04","Австрийцы назвали Lada Vesta SW победителем конкурса экономичности

Подробнее: https://drom.ru/s/fLr",1
4417,69295434845052,"2019-03-22 22:18:53","Китайцы разработали водородный автомобиль с запасом хода 1000 км

Подробнее: https://drom.ru/s/nzU",1
